Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,Player21,,0.2,0.3,-0.04,0.65
Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,
Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,
Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,Player15,,0.62,0.36,0.63,0.36
Away,RECOVERY,,1,8650,346.0,8650,346.0,Player15,,0.66,0.35,,
Away,PASS,HEAD,1,8650,346.0,8686,347.44,Player15,Player16,0.66,0.35,0.75,0.38
Away,BALL LOST,,1,8686,347.44,8735,349.4,Player16,,0.75,0.38,0.64,0.28
Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,Player18,,,,,
Away,PASS,,1,8868,354.72,8892,355.68,Player18,Player19,0.77,-0.01,0.72,0.1
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,Player19,,0.71,0.11,0.08,0.17
Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,Player23,,,,,
Away,PASS,,1,9215,368.6,9255,370.2,Player23,Player18,0.06,0.0,0.22,0.06
Away,PASS,,1,9306,372.24,9337,373.48,Player18,Player19,0.18,0.11,0.24,0.3
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,Player19,,0.24,0.3,0.24,0.39
Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,Player25,,0.97,0.44,,
Away,BALL OUT,,1,9634,385.36,9663,386.52,Player25,,0.97,0.44,1.03,0.33
Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,Player15,,0.91,0.47,,
Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,Player15,,0.91,0.47,0.83,0.52
Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,Player22,,0.84,0.51,,
Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,Player15,,0.86,0.47,,
Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,Player15,,0.86,0.47,0.78,0.65
Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,Player21,,0.76,0.65,,
Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,Player25,,,,,
Away,PASS,,1,11586,463.44,11619,464.76,Player25,Player17,0.78,0.55,0.7,0.79
Away,PASS,,1,11674,466.96,11701,468.04,Player17,Player22,0.65,0.83,0.57,0.97
Away,PASS,,1,11727,469.08,11763,470.52,Player22,Player20,0.58,0.94,0.54,0.73
Away,PASS,,1,11788,471.52,11812,472.48,Player20,Player19,0.53,0.71,0.5,0.52
Away,PASS,,1,11831,473.24,11861,474.44,Player19,Player24,0.5,0.55,0.39,0.4
Away,PASS,,1,11882,475.28,11918,476.72,Player24,Player18,0.39,0.41,0.32,0.1
Away,BALL LOST,CROSS-INTERCEPTION,1,11987,479.48,12032,481.28,Player18,,0.22,0.12,0.03,0.61
Away,SET PIECE,CORNER KICK,1,12636,505.44,12636,505.44,Player21,,,,,
